timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
9601477,0.999407,-0.00219844,0.0220247,0.0263924,0.000568378,-0.00148771,-0.0208164,-0.000583888,-0.000301099,-0.0237227,1.12248e-05,6.36161e-06,-2.12043e-05,-1.73823e-05,-6.08625e-06,0.000496752,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.89474e-11,1.14623e-05,0.000582832,1.15162e-06,0.000117205,0.000116852,0.000761503,0.000485827,0.000477453,0.00400085,99.9999,99.9999,0.00131157,5.66548e-10,5.41838e-10,1.33549e-08,2.45367e-06,2.45826e-06,6.25099e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0362156,0.00128795,0.0,5.45485e-06,0.0486941,0.0,0.0166226,0.0,0.000236,0,0,0,367,0,0,0,0
9802395,0.999402,-0.00209801,0.0220366,0.0265731,-0.00048233,-0.00126093,-0.0283545,-0.00100257,-0.000446221,-0.0361311,1.08224e-05,6.04747e-06,-2.09166e-05,-1.82104e-05,-5.82008e-06,0.000509081,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.80536e-11,1.16114e-05,0.00056942,1.137e-06,0.000115607,0.000115259,0.0007524,0.000700917,0.000693026,0.00375897,99.9999,99.9999,0.00117914,4.98615e-10,4.75735e-10,1.23763e-08,2.45339e-06,2.45798e-06,5.97201e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0343386,0.00122205,0.0,5.45485e-06,0.0769173,0.0,0.0852286,0.0,0.000354,0,0,0,367,0,0,0,0
10006985,0.999395,-0.00216312,0.0220359,0.0268287,0.0011174,-0.00135721,-0.0216633,-0.00079281,-0.000630954,-0.0369624,1.08292e-05,6.22149e-06,-2.05937e-05,-1.76419e-05,-5.73169e-06,0.000501588,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,8.29097e-11,1.14945e-05,0.000536876,1.09635e-06,0.000114101,0.000113762,0.000721927,0.00082342,0.000815464,0.00382211,99.9999,99.9999,0.00122546,4.37902e-10,4.17067e-10,1.12118e-08,2.45321e-06,2.4578e-06,5.7625e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0350066,0.000636526,0.0,5.45485e-06,0.0779345,0.0,0.0809385,0.0,0.000144,0,0,0,367,0,0,0,0
10207818,0.999395,-0.0020604,0.0220875,0.0267743,4.15913e-05,-0.000473126,-0.00789917,-0.000365389,-0.000650781,-0.0304072,1.04804e-05,6.0209e-06,-1.93962e-05,-1.79204e-05,-4.15205e-06,0.000484494,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,8.06718e-11,1.16683e-05,0.000534257,1.08227e-06,0.000111968,0.000111634,0.000713442,0.000634385,0.000625848,0.00421042,99.9999,99.9999,0.00153481,3.7803e-10,3.5867e-10,1.04309e-08,2.4527e-06,2.45728e-06,5.63383e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0391766,0.0107556,0.0,5.45485e-06,0.0658213,0.0,0.00612854,0.0,0.000176,0,0,0,367,0,0,0,0
10408641,0.999397,-0.00211915,0.0219498,0.0268281,0.00274082,-0.0023099,-0.0043174,0.000563834,-0.00135081,-0.0295705,1.07362e-05,6.44662e-06,-1.87575e-05,-1.5655e-05,-6.11887e-06,0.000480285,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,8.40149e-11,1.19777e-05,0.000504922,1.03826e-06,0.000111269,0.000110949,0.00068347,0.000834513,0.000826695,0.00390105,99.9999,99.9999,0.00138785,3.46211e-10,3.28601e-10,9.49659e-09,2.4523e-06,2.45688e-06,5.39418e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0372538,0.00525362,0.0,5.45485e-06,0.0633564,0.0,0.0274851,0.0,0.000196,0,0,0,367,0,0,0,0
10702201,0.999394,-0.00213866,0.0218258,0.0270151,0.00277045,-0.00397377,-0.00506895,0.00161567,-0.00263516,-0.0342983,1.07366e-05,6.54124e-06,-1.8101e-05,-1.23244e-05,-9.91476e-06,0.000485263,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,8.35096e-11,1.21507e-05,0.000537602,1.004e-06,0.000110081,0.000109776,0.000658777,0.000901674,0.000894357,0.00380967,99.9998,99.9998,0.00128344,3.0123e-10,2.85636e-10,8.47792e-09,2.45185e-06,2.45642e-06,5.13557e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0358251,0.000205534,0.0,5.45485e-06,0.0725089,0.0,0.0822873,0.0,0.00016,0,0,0,367,0,0,0,0
11107876,0.999392,-0.00203486,0.0218823,0.0270512,0.00161829,-0.00110581,0.00495544,0.0025889,-0.00334551,-0.0325283,1.00448e-05,6.30165e-06,-1.64792e-05,-1.27861e-05,-7.76323e-06,0.000475808,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,8.21331e-11,1.18096e-05,0.00049751,9.60704e-07,0.000108144,0.000107848,0.000627852,0.000425118,0.000418058,0.0037552,99.9998,99.9998,0.00120442,2.40388e-10,2.26893e-10,7.27922e-09,2.45132e-06,2.45589e-06,4.82091e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0347048,0.00690156,0.0,5.45485e-06,0.0693146,0.0,0.00675642,0.0,0.000233,0,0,0,367,0,0,0,0
11312641,0.999387,-0.00204105,0.0219647,0.027201,9.69064e-05,-0.000480851,0.00670533,0.00263721,-0.00340233,-0.030656,9.90692e-06,6.11813e-06,-1.61335e-05,-1.37022e-05,-6.95325e-06,0.000476401,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,8.26835e-11,1.13466e-05,0.000473629,9.52287e-07,0.000107812,0.000107516,0.000621058,0.000626525,0.000619419,0.00380632,99.9998,99.9998,0.00124008,2.25147e-10,2.12434e-10,6.83459e-09,2.45087e-06,2.45543e-06,4.6915e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0352147,0.00245692,0.0,5.45485e-06,0.167216,0.0,0.114707,0.0,0.000191,0,0,0,367,0,0,0,0
11514262,0.999386,-0.0019884,0.0219627,0.0272297,0.000210315,-7.78005e-05,0.0100035,0.00273345,-0.00336547,-0.0278532,9.82718e-06,6.15651e-06,-1.55245e-05,-1.37659e-05,-6.97749e-06,0.000473003,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.59119e-11,1.07383e-05,0.000534987,9.41845e-07,0.000107613,0.000107319,0.000614228,0.00066428,0.000657155,0.00381841,99.9997,99.9997,0.00126417,2.08392e-10,1.96398e-10,6.42445e-09,2.45083e-06,2.4554e-06,4.56414e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0355551,0.00733345,0.0,5.45485e-06,0.0599251,0.0,0.0132666,0.0,0.000219,0,0,0,367,0,0,0,0
11919821,0.999394,-0.00198453,0.0219231,0.0269749,4.81703e-05,-0.000395666,0.00628359,0.00281689,-0.0034498,-0.0259415,9.697e-06,6.15421e-06,-1.37089e-05,-1.37683e-05,-7.07651e-06,0.000479424,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.6932e-11,1.15372e-05,0.000560376,9.00283e-07,0.00010661,0.00010633,0.000586836,0.000486458,0.000479723,0.00364662,99.9997,99.9997,0.00118073,1.75931e-10,1.65507e-10,5.58641e-09,2.45031e-06,2.45488e-06,4.30465e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0343618,0.023967,0.0,5.45485e-06,0.177331,0.0,0.108731,0.0,0.000179,0,0,0,367,0,0,0,0
